,neg,neu,pos,nns,FRS,Dugast,Herdan,Maas,Summer,cttr,rttr,label
71,0.12,0.696,0.185,27800,71.89,55.41610036563689,0.7860381108861364,0.018045297186232406,0.9026451720302424,21.009217607867146,29.711520475893355,Literary
72,0.123,0.685,0.192,16782,77.77,50.80511783559161,0.7770776671929892,0.019683056404594113,0.8960823255217955,16.305393766047658,23.059309003778317,Literary
73,0.121,0.715,0.164,12469,76.05,55.551787364337656,0.8012554464715519,0.01800122097677033,0.9077376547905116,19.67742155154443,27.828076430726764,Literary
74,0.114,0.711,0.175,17661,79.8,50.95686520992709,0.7756277107532631,0.01962444110092523,0.8957195130253797,16.523160410009925,23.367277545102226,Literary
75,0.103,0.735,0.162,29200,44.55,60.46070409900162,0.8053847516659651,0.016539668449155772,0.9122060510778995,25.70688812835534,36.35502983752803,Literary
76,0.082,0.752,0.166,12901,73.0,49.70896188267039,0.7775338989656282,0.020117096839807905,0.8952947966915873,15.21910259248435,21.5230612934389,Literary
77,0.123,0.71,0.168,13093,65.25,53.154510595265585,0.7907223333000494,0.018813078867648703,0.9025331165148703,17.94724729155398,25.381240526979436,Literary
78,0.131,0.683,0.186,18834,56.52,60.95292467201518,0.8127070829851667,0.016406103650988907,0.9148325287602989,25.111011036476672,35.51233237268578,Literary
79,0.116,0.731,0.153,12859,84.47,56.587881658117084,0.8082180224696263,0.017671628106555176,0.9107014188989403,20.052895309100652,28.35907651097796,Literary
80,0.116,0.617,0.267,3599,72.05,54.22706015706049,0.8188526063000097,0.018440977569199785,0.9125276632603553,16.20864034008846,22.922478996580757,Literary
81,0.13,0.639,0.231,3682,82.99,46.258778673924276,0.7854270014358742,0.021617518418481127,0.8947658402938125,12.019639765277027,16.99833757089374,Literary
82,0.113,0.613,0.274,4488,73.51,48.91364174672811,0.7935304482943928,0.02044419438605573,0.8999922302012806,13.70612156546807,19.3833830054193,Literary
83,0.145,0.615,0.239,4269,81.16,47.131717465389535,0.786798776606979,0.0212171347401956,0.8960822107140445,12.620662326137442,17.848311827754742,Literary
84,0.129,0.665,0.206,11989,63.87,50.63924365988485,0.7828042767463744,0.019747530328778885,0.8978748866496025,15.861348004392852,22.431333465331793,Literary
85,0.116,0.69,0.194,31845,71.31,48.82479421540679,0.7525392544706254,0.02048139712761856,0.8859019421481388,14.949251549831793,21.14143428909913,Literary
86,0.102,0.689,0.209,36015,69.86,50.147664115324076,0.7593333232167936,0.019941108277751682,0.8894599009651184,16.17209146712622,22.870791084748106,Literary
87,0.091,0.749,0.161,945,84.2,56.81272984537276,0.8535717937153549,0.017601688965161517,0.9252666484953954,13.393710833093156,18.941567510663784,Literary
88,0.11,0.73,0.16,34733,72.84,48.997291479890826,0.7519446101949537,0.02040929140767738,0.8858561982309224,15.113250015456837,21.373363143394446,Literary
89,0.096,0.703,0.201,17185,58.96,51.124066048862375,0.77809225349776,0.019560259527171397,0.8966921402466557,16.58228103837062,23.45088673954594,Literary
90,0.09,0.695,0.216,32650,77.37,52.091935789129664,0.7714308766254014,0.01919682931438835,0.8952368159681442,17.907998980547806,25.32573503325427,Literary
91,0.149,0.709,0.141,28811,77.57,52.363916521451465,0.7731665474807417,0.019097120048122047,0.896042740202101,18.13906787655565,25.65251579983114,Literary
92,0.103,0.714,0.184,13953,80.51,56.49113181549894,0.8036037112449782,0.017701893516065815,0.9091409101135086,20.528268974732622,29.031356396109704,Literary
93,0.139,0.673,0.188,31459,70.23,56.76917386869222,0.7904221427105164,0.01761519380769944,0.9050256682603203,22.392852124859814,31.668275175191933,Literary
94,0.098,0.742,0.16,15147,79.4,58.0825372497867,0.8071259192570895,0.017216878727240387,0.9113151804606547,22.066048061982677,31.206104437232455,Literary
95,0.118,0.679,0.203,45571,71.38,51.50127129961891,0.7614924699694405,0.019416996411259456,0.8913685767319509,17.55701770889357,24.82937255874189,Literary
96,0.109,0.706,0.185,4074,79.3,50.23469933198609,0.8015992268415123,0.019906558878581105,0.9038175526505051,14.286945598453308,20.20479223021926,Literary
97,0.124,0.663,0.213,18441,69.75,57.492735230271,0.8011543261513566,0.017393501909324385,0.9090056060038024,22.115470350304438,31.275998107660595,Literary
98,0.111,0.678,0.211,9752,61.33,49.411150112957486,0.7813154280622762,0.02023834696650305,0.8963146959422154,14.778419122917258,20.899840754063483,Literary
99,0.099,0.729,0.172,14966,71.48,51.22328818620246,0.780564954988278,0.019522370300885147,0.8976078507064151,16.56063149043788,23.420269655240215,Literary
